artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Crazy Town,Butterfly,216733,1999,71,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,"rock, metal"
Michael Jackson,You Rock My World,337733,2001,64,0.854,0.673,-3.132,0.185,0.038,0.000227,0.255,0.955,95.0,"pop, R&B"
Jennifer Lopez,Ain't It Funny,246160,2001,0,0.707,0.869,-4.525,0.0481,0.104,0.000121,0.0813,0.621,99.825,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,271626,2002,50,0.7,0.787,-5.176,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043,"hip hop, pop, R&B"
Nickelback,How You Remind Me,223840,2001,78,0.446,0.764,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,"rock, metal"
Daft Punk,One More Time,320357,2001,76,0.613,0.697,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,"hip hop, Dance/Electronic"
Fragma,Everytime You Need Me - Radio Version,213346,2001,50,0.682,0.917,-5.459,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic"
Mariah Carey,Loverboy,229173,2001,42,0.721,0.79,-4.125,0.124,0.183,0.0,0.1,0.821,103.141,"pop, R&B"
Dido,Thank You,218360,1999,73,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,2000,57,0.767,0.759,-6.516,0.117,0.0513,0.0,0.31,0.677,89.989,"pop, R&B"
P.O.D.,Youth of the Nation,256240,2001,69,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,2008,52,0.635,0.854,-5.02,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin"
Christina Milian,AM To PM,231213,2001,60,0.872,0.868,-3.036,0.12,0.153,2.26e-05,0.843,0.822,105.005,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,452906,2000,50,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic
Tamia,Stranger in My House,285386,2000,48,0.676,0.601,-4.905,0.0297,0.103,0.0,0.147,0.206,119.94,"pop, R&B"
Mary J. Blige,No More Drama,326240,2001,61,0.653,0.837,-6.818,0.124,0.534,7.12e-05,0.0784,0.64,97.914,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,2001,67,0.786,0.842,-5.115,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,2001,65,0.878,0.724,-5.373,0.129,0.168,0.0116,0.133,0.904,121.906,pop
Case,Missing You,284666,2001,55,0.612,0.579,-6.417,0.0553,0.285,0.0,0.0556,0.716,86.31,"hip hop, pop, R&B"
112,Peaches & Cream,193093,2001,63,0.677,0.52,-6.255,0.334,0.00277,0.0,0.0532,0.768,203.862,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,218626,2001,47,0.631,0.821,-7.853,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,2001,54,0.464,0.922,-8.399,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,2001,75,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,"rock, metal"
Usher,Pop Ya Collar - Radio Edit,210813,2016,26,0.888,0.8,-3.944,0.0946,0.0901,2.12e-05,0.229,0.866,106.957,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,2000,53,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.0914,0.679,99.965,pop
Blue,If You Come Back,207560,2001,58,0.582,0.707,-4.487,0.0319,0.0822,0.0,0.0467,0.701,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,195506,2001,58,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.0674,0.408,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,2001,67,0.596,0.661,-6.239,0.226,0.31,0.0,0.0847,0.86,129.491,"hip hop, pop, R&B"
S Club 7,Don't Stop Movin',233626,2001,63,0.822,0.672,-6.133,0.0329,0.0285,0.0,0.213,0.91,117.033,pop
Craig David,Fill Me In,257200,2000,60,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,276106,2000,1,0.587,0.679,-6.26,0.0927,0.0839,0.000316,0.413,0.65,180.184,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,234400,2001,61,0.739,0.679,-5.079,0.0373,0.000424,0.0187,0.389,0.786,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,207400,2004,46,0.795,0.919,-3.07,0.0835,0.37,0.00863,0.189,0.96,134.079,"pop, Dance/Electronic"
Jagged Edge,Promise,246720,2000,56,0.751,0.568,-5.431,0.0872,0.136,0.0,0.0288,0.646,128.002,"hip hop, pop, R&B"
S Club 7,Have You Ever,201533,2001,60,0.585,0.702,-5.734,0.0325,0.538,0.0,0.216,0.51,139.909,pop
Enya,Only Time,218546,2000,69,0.418,0.249,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,2001,60,0.321,0.511,-7.77,0.0306,0.513,0.0,0.127,0.17,128.98,"pop, country"
Ronan Keating,Lovin' Each Day,212973,2000,58,0.541,0.899,-6.261,0.0633,0.0178,2.95e-06,0.286,0.829,106.676,"pop, rock"
Destiny's Child,Bootylicious,207906,2001,64,0.84,0.835,-4.386,0.275,0.00281,1.11e-06,0.152,0.637,103.376,"pop, R&B"
Steps,It's the Way You Make Me Feel,197360,2000,53,0.573,0.665,-5.081,0.0239,0.108,2.09e-06,0.095,0.347,105.006,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,295826,2001,56,0.697,0.925,-4.209,0.216,0.0614,0.0,0.095,0.678,96.951,"pop, R&B"
Lenny Kravitz,Again,231666,2000,68,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2002,46,0.836,0.762,-5.044,0.0598,0.0826,5.48e-05,0.102,0.941,133.592,pop
DB Boulevard,Point Of View - Radio Edit,231166,2018,0,0.676,0.715,-6.854,0.0287,0.00284,0.0746,0.0685,0.275,129.006,Dance/Electronic
Janet Jackson,All For You,329933,2001,65,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525,"pop, R&B"
Atomic Kitten,Whole Again,185013,2001,66,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.174,0.567,94.019,pop
Ja Rule,Livin' It Up,257066,2001,64,0.874,0.768,-4.086,0.311,0.0554,0.0,0.041,0.636,106.095,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",221133,2001,65,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954,"pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,2001,54,0.847,0.877,-5.424,0.0493,0.124,0.0,0.148,0.764,131.044,Dance/Electronic
Musiq Soulchild,Love,304666,2000,0,0.569,0.385,-9.919,0.0499,0.342,0.0,0.0876,0.339,99.738,"pop, R&B"
Robbie Williams,Eternity,302760,2001,48,0.469,0.316,-8.106,0.0265,0.504,6.04e-06,0.0919,0.199,77.967,"pop, rock"
Basement Jaxx,Romeo,217493,2001,0,0.713,0.829,-4.171,0.0491,0.00769,0.00203,0.139,0.844,126.853,"pop, Dance/Electronic"
